Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:AFN Node Total Pressure [Pa](TimeStep),ExtNode   1:AFN Node Total Pressure [Pa](TimeStep),ExtNode   2:AFN Node Total Pressure [Pa](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 4:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 4:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 4:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 2:AFN Surface Venting Window or Door Opening Factor [](TimeStep),GATE 4:AFN Surface Venting Window or Door Opening Factor [](TimeStep),ZONE_HALLE:AFN Zone Infiltration Volume [m3](TimeStep),ZONE_HALLE:AFN Zone Infiltration Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  15:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,790.1206102941651,0.0 
 01/15  16:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,790.2497888118959,0.0 
 01/15  16:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,790.377971840091,0.0 
 01/15  16:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,790.5051669939422,0.0 
 01/15  16:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,790.6313818340424,0.0 
 01/15  17:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,790.7566238604488,0.0 
 01/15  17:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,790.8809005195508,0.0 
 01/15  17:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,791.0042192003458,0.0 
 01/15  17:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,791.1265872361837,0.0 
 01/15  18:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,791.2480119051181,0.0 
 01/15  18:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,791.3685004304862,0.0 
 01/15  18:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,791.4880599809114,0.0 
 01/15  18:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,791.606697670417,0.0 
