Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  21:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,792.7438995109407,0.0 
 01/15  21:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,792.8528512017801,0.0 
 01/15  21:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,792.9609623262661,0.0 
 01/15  22:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,793.0682393292666,0.0 
 01/15  22:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,793.1746886081528,0.0 
 01/15  22:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,793.2803165124499,0.0 
 01/15  22:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.23916635118063e-8,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,793.3851293413902,0.0 
 01/15  23:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,793.4891333481066,0.0 
 01/15  23:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,793.5923347392818,0.0 
 01/15  23:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,793.694739671424,0.0 
 01/15  23:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,793.7963542575017,0.0 
 01/15  24:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,793.8971845620547,0.0 
